ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,1850,USA,Mars,Borden,New Bedford,Maritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500910.pdf,Captain sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,1853,USA,Mars,Harrison,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531122.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,1857,USA,Mars,G. P. Harrison,New Bedford,"Maritius, Saint Auguastin Bay",whaling,NBWM 137; NBL 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,1797,USA,Martha,George Ropes,Salem?,"Maritius, Bourbon","coffee, sugar, cotton",,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,1798,USA,Martha,John Prince Jr.,Salem?,Maritius,"coffee, sugar, cotton",,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,1831,USA,Martha,E. RUSAsell,New Bedford,Maritius,whaling,New Bedford Whaling MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,1835,USA,Martha,,Fairhaven,Saint Auguastine Bay,whaling,,NBWM ODHS 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1837,USA,Martha,Fisher,New Bedford,Maritius and Madagascar,whaling,http://pplspc.org/nicholson/rj5_nicholson_428/pdf/rj5_nicholson_428r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1837,USA,Martha,Daniel Borden,New Bedford,Saint Auguastine Bay,whaling,NBWM ODHS 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,1838,USA,Martha,Alley,Nantucket,Maritius,whaling,New bedford whaling mUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,1849,USA,Martha,Stewart,Fairhaven,"Johanna, Saint Auguastine Bay",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500604.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,1853,USA,Martha,Stewart,Fairhaven,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540502.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,1843,USA,Martha ,Wheldon,Hudson,Madagascar,whaler,http://pplspc.org/nicholson/rj5_nicholson_430/pdf/rj5_nicholson_430r.pdf,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,1845,USA,Martha ,Stewart,Fairhaven,"Johanna, Saint Auguastine Bay, Passandava Bay",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461013.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,1857,USA,Martha,Spaulding,Fairhaven,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570505.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,1835,USA,Mary,,St Andrews,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,1837,USA,Mary ,Henry Peak,Edgar Town,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,1827,USA,Mary Ann,William Stevens,New Bedford,Zanzibar,gum copal,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,1835,USA,Mary Ann,J. Cracker,New Bedford,"Saint Auguastin Bay, Zanzibar",whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,1851,USA,Mary Ann,Farnham,New York,"Nosy Be, Zanzibar",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520615.pdf,commercial ship? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,1835,USA,Mary Hawes,Hawes,,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,1835,USA,Maryam,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,1855,USA,Maryland,G. F. White,Providence,"Nosy Be, Majunga, Zanzibar",,PE Log 716,https://beta.worldcat.org/archivegrid/?q=%28topic%3A%22loGBRooks.%22%29+AND+placesort%3A%22Tanzania+-+Zanzibar.%22&offset=100&p=0&label=&sort=score+desc&limit=100&ss=&extentsize=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,1844,USA,Mason,,Pittsburg,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1855,USA,Massasoit,,,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551127.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,1857,USA,Matiposset,,,Saint Auguastine Bay,whaling,,NBWM 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,1857,USA,Mechanic,Corey,NEwport,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,1835,FRA,Meican,Lubbost,Bordeaux,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,1820,GBR,Menai,,GBR,"Zanzibar, Tamatave",,New York Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,1855,GBR,Mendoro,Garrison Crowell,Liverpool,Maritius,bringing guano ,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,1875,USA,Mercury,Charles Gifford,New Bedford,"Maritius, Antongil",whaling,NBWM 361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,1876,USA,Merlin,John R. Sturgis,New Bedford,"Madagascar, Zanzibar, Seychelles",whaling,New Bedford whaling mUSAeum - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,1881,USA,Merlin,George F. Allen,New Bedford,"Madagascar, Anjouan",whaling,NBWM 67,,doesn't appear to stop at Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,1885,USA,Mermaid,James H. Serman,New Bedford,Anjouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,1852,USA,Messenger,Baker,New Bedford,"Johanna, St Auguastine Bay, Maritius",whaling,,"http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530726.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530412.pdf, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf","almost wrecked near Madagascar, had to go into St AugUSAtine BAy for repairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,1854,USA,Messenger,Baker,New Bedford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,1857,USA,Messenger ,Jenney,New Bedford,"Auguastine Bay, Maritius",whaling,,http://images.mysticseaport.org/images/wsl/18580705.pdf; http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,1833,USA,Meteor,,New Bedford,Saint Auguastine Bay,whaling,,NBWM 721,ran ashore at St augUSAtine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,1841,USA,Meteor,AUSAtin M. Lester,Mystic,Madagascar,whaling,Mystic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,1843,USA,Meteor,William T. Burrows,Mystic,Saint Auguastine Bay,whaling,Mystic,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,1849,USA,Mexican,Cudworth,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,1859,USA,Michael Shepard,,Salem,"Madagascar, Zanzibar, Mayotte, Johanna, Kilwa",,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majunga,16-Jan,20-Jan,Majunga,05-Jun,08-Jun
568,1849,USA,Millinocket,Martin,Warren,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491204.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,1851,USA,Millinocket,William Martin,Warren,Madagascar; Johanna,whaler,New Bedford whaling mUSAeum - in catalog,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1852,USA,Millinocket,Worth,Warren,Johanna; Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530412.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,1854,USA,Millinocket,Worth,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,1843,USA,Milwood,Luce,New Bedford,Saint Auguastine Bay,whaling,,"BUSAch, Whaling, pg 44; John Thompson, The Life of a Fugative Slave, p. 122-4",http://library.mysticseaport.org/Images/wsl/18431003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,1847,USA,Milwood,Deane,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,1852,USA,Milwood,Pease,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,1858,USA,Milwood,Gruninger,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18580831.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,1857,USA,Minerva Smyth,Bolles,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,1840,USA,Mobile,,New Bedford,Comoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,1845,USA,Mohawk,James Ballard,,"Aden, Zanzibar",,,NEM 268,efforts made to prevent them from trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,1853,USA,Monmouth,Ludlow,Cold Spring,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540307.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,1855,USA,Monmouth,Eldridge,Cold Spring,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,1844,USA,Montezuma,Allen,"Mattapoisett, MA",Mozambique,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,1847,USA,Montezuma,Prince Lawton,Dartmouth,Anjouan,whaling,NBWM 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,1850,USA,Montezuma,Allen,New Bedford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501022.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,1854,USA,Montezuma,Kempton,New BEdford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,1845,USA,Montgomery,Eben B. Hooper,Rhode Island,"Madagascar, Maritius",whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,1845,USA,Montgomery,Hope,Providence,"Mozambique, Zanzibar, Madagascar, Maritius",,,NEM 268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,1856,USA,Montgomery,Chapman,New Bedford,"Maritius, Saint Auguastine Bay",whaling,NBL 51,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561230.pdf,in MauritiUSA as captain hurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,1842,USA,Montou,,New London,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1840,USA,Mount Willaton,Purchase Juvet,Salem,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,1837,USA,Mount Wollaston?,Purchase Hewett?,Salem,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,1834,USA,Mozambique,,,Antongil Bay,whaling,,NBWM 179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,1864,USA,Natal,,,"Majunga, Nosy Be, Zanzibar",,PE Log 795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,1837,USA,Neptune,,New London,Saint Auguastin Bay,whaling,Mystic,http://pplspc.org/nicholson/rj5_nicholson_504/pdf/rj5_nicholson_504r.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,1823,USA ,NereUSA,Daniel BrookhoUSAe,Salem,"Majunga, Mozambique",,PE Log 194,"Putnam, 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,1825,USA,NereUSA,B. W. BrookhoUSAe,Salem,Majunga,,,"Essex county, 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,1842,USA,New Concorda,,,Saint Auguastin Bay,,,NWBM 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,1843,USA,NinUSA,Woolley,Lynn,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1849,USA,Noble,Glover,Sag Harbor,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1838,USA,North America,,Warren,,,Mystic Seaport MUSAeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,1841,USA,North Star,,,"Madagascar, Zanzibar",,,"RW 1, 1 and 3","wrecked near Majunga, couldn't save cargo or people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1857,USA,Northwest,Rogers,New London,"Saint Auguastin Bay, Tulear, Maritius",whaling,,NBWM 137; http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,1859,USA,Ocean Rover,James M. Clark,"Mattapoisett, MA",Madagascar,,New Bedford Whaling mUSAem - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,1838,USA,Octavia,Clifford?,New Bedford,"Madagascar, Maritius",whaling,http://pplspc.org/nicholson/rj5_nicholson_523/pdf/rj5_nicholson_523r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,1838,USA,Octavia,,New Bedford,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1843,USA,Octavia,Isaac C howland,New Bedford,"Saint Auguastine Bay Maritius, Mozambique, Nosy Be",whaler,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450506.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430613.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,1858,USA,Ohio,David Baker,New Bedford,Madagascar,whaling,New Bedford whaling library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1864,USA,Ohio,Daniel Flanders,New Bedford,Anjouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,1835,USA,Ontario,,Sag Harbor,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,1837,USA,Ontario,B. R. Green,Sag Harbor,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,1843,USA,Ontario,Greene,Sag Harbor,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1837,GBR?,Opolion,Landglois,,Zanzibar,,,NEM 202,perhaps British whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,1844,USA,Orb,Nehemiah W Andrews,Salem,"Zanzibar, Ibo, Madagascar",,"PE Log 553; PE Pingree papers -Box 92, folder 11","NEM 266, RW, 2: 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,1846,USA,Orb,W. Cross,Salem,"Majunga, Zanzibar",,,"History of Essex County, 85; David Pingree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,1849,USA,Orb,C. F. Rhoades,Salem,"Majunga, Zanzibar",,,"David Pingree; History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,1855,USA,Orissa,Sears,Boston,Maritius,ice,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1855,USA,Osceola,,,Boyana Bay,whaling,NBWM 261,,in a state of mutiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1861,USA,Osceola,,,near eastern Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,1852,USA,Ospray,Macomber,New Bedford,"Johanna, St. Auguastine Bay; Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531018.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530802.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530816.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520705.pdf,leaking at MauritiUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1830,USA,Osprey,Caldwell,Salem,"Majunga, SAB, Zanzibar, Brava, Lamu",,PE Log 281,NEM 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,1848,USA,Otranto?,Winslow,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,1839,USA,Palestine,John Crimblish,Salem,"Anjouan, Majunga","water and fruit, cattle and poultry",PE 437,NEM 187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,1840,USA,Palestine,Crimblish,Salem,"Johanna, Majunga, Zanzibar, Nosy Be",,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,1842,USA,Palestine,Crimblish,Salem,Majunga,,PE Log 3088 (OS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,1836,USA,Palladium,Charles Prentis,New London,Saint Auguastine Bay,whaler,,"Maury Abstracts, National Archives and Records Administration, Washington, DC, NBWM 411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1836,USA,Palm,N. W. Andrews,Salem,Zanzibar,,,"History of Essex County, 85; Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1850,USA,Paulina,Tatch,New Bedford,"Maritius, Johanna",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520203.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,1833,USA,Peacock,,Salem,"Zanzibar, Muscat, Mozambique",,,NEM 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,1855,USA,Peacock,,,Madagascar,shipwrecked off the island,PE Log 717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1855,USA,Pearl,Forsyth,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,1787,USA,Peggy,,Salem,Maritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1795,USA,Peggy,"John Edwards, Jr",Salem?,Maritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1836,GBR,Pelican,,,Majunga,,John Studdy Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,1839,USA,Pembroke,Josiah Chester,New London,"Madagascar, Maritius",whaling,,"Starbuck, p. 368-9; NARA reel 1",Capt Peabody left the ship at Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,1844,USA,Penobscot,Kelley,Nantucket,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,1839,USA,PeridUSA,David Perry,Fairhaven,"Madagascar, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,1833,USA,Perkins,Ruye,Salem,Zanzibar,mUSAkets and specie,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,1855,USA,Peri,RUSAsell,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,1844,USA,Perl,Jose,New Bedford,"Johanna, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,1847,USA,Perl,Mayhew,New Bedford,"Anjouan, Maritius",whaling,http://library.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,1825,USA,Perseverance,William Bates,Salem,Madagascar,,PE Log 234,,"wrecked off Majunga - Putnam, vol 3, pg 107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,1802,USA,Petapsco,Reeves,Baltimore,Maritius,,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,1872,USA,Petrel,Frederick Howland Smith,New Bedford,Anjouan,whaler,NBWM 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,1853,USA,Peytona,Jenkins,New York ,Maritius,,http://library.mysticseaport.org/Images/wsl/18531122.pdf,"headed to AUSAtralia, damanged and leaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,1838,USA,Phaeton,Brewroth,Stonington,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,1850,USA,PhiletUSA,Stevens,Stonington,Maritius,,http://library.mysticseaport.org/Images/wsl/18501001.pdf,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510114.pdf,to be abandoned in MauritiUSA due to leaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,1838,USA,PhilitUSA,Brucester,Stonnington,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,1822,USA,Philo,Isaac Percival,Boston,Maritius,whaling,NBWM 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,1836,USA,Phoenician,,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,1836,USA,Phoenician,,,Madagascar,whaler,,NBWM 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,1847,USA,Phoenician,Worth,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,1849,USA,Phoenix   ,Bloomfield,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500423.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500305.pdf,"crew in a ""state of mutiny""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,1835,USA,Phoenix / Phenix,Mercator Cooper,Sag Harbor,St Auguastine Bay,whaler,NBWM ODHS 172,NBL roll 32,conflicts on shoreline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,1839,USA,Phoenix / Phenix,Sopping,Sag Harbor,Maritius,whaling,Old Darthmouth Historical society,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,1843,USA,Phoenix / Phenix,Briggs,Sag Harbor,"Maritius, Saint Auguastine Bay",whaling,,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
