ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1865,USA,Atlantic,Benjamin Franklin Wing,New Bedford,"Madagascar, Anjouan",whaling,New Bedford mUSAeum library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1876,USA,Atlantic,Benjamin Franklin Wing,New Bedford,"Madagascar, Seychelles, Maritius",whaling,New Bedford mUSAeum library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1835,USA,Atlantic ,,Warren,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1836,USA ,Atlas,Gardner,Lynn,"Saint Auguastine Bay, Maritius",whaling,,"NBWM 411, NARA reel 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1838,USA,AugUSAtUSA,Millet,Salem,Zanzibar,,,"NEM 207, NEM 211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1794,USA,Aurora,Meek,Salem,Maritius,delivered Sugar to Salem,,"Brantz journal, LOC; History of Essex County, pg 83; NARA reel 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1855,USA,AUSAtralia,W. G. Clough,Salem,"Maritius, Manila",stopped to fix damages,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1835,USA,Averick,Humphrey Shearman,New Bedford,Saint Auguastin Bay,whaling,NBWM 24,,"hostility from the ""indians""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1877,USA,Avola,Zenas Bourne,New Bedford,Anjouan,,NBWM KWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1846,USA,Badger,Perkins,,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1840,USA,Barclay,John B Briggs,New Bedford,Maritius,whaling,Kendall Whaling MUSAeum,"NARA reel 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1857,FRA,bark,,,Saint Auguastine Bay,,,NBL 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1849,USA,Bartholomew Gosnold,Reuben Taber Jr,New Bedford,"Madagascar, Anjouan",whaler,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1836,USA,Bayard,Miller,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1795,USA,BelisariUSA,George Crowninshield,Salem?,Maritius,sugar,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1802,USA,BelisariUSA,Skerry,Salem,"Maritius, Sumatra",,,NEM: 5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1836,USA,Bengal,,Salem,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1838,USA,Bengal,Benjamin Jackson,Salem,"Johanna, Pemba",whaling,NBWM 986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1843,USA,Bengal,Jackson,Salem,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440305.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1794,USA,Benjamin,Nathaniel Silsbee,Salem,Maritius,"cotton, indigo, sugar, pepper",,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1820,USA,Beulah,Forbes,Salem,"Majunga, Mocha",some small amount of Tallow,,"Northway, 152, Essex county, 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
