Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1854,US,Marcella,Morton,New BEdford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550731.pdf,"stuck on a reef around Zanzibar, help from the consul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,US,Marcella,John Sturgis,New Bedford,Anjouan,whaling,NBWM 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Marcia,Peter Butler,Fairhaven,"Mozambique, Madagascar",whaling,New Bedford whaling museum - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Marcia,,Fairhaven,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Marcia,,,Saint Augustine Bay,whaling,,NBWM 339,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Marcus,Babcock,Sag Harbor,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Margaret Ann,,,"Nosy Be, Zanzibar",,,NEM 397,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Margaret Oakley,Benjamin Morrell,New York,"Singapore, Fort Dauphin",,"Waters papers, Box 11","NEM 186, BW 1:5",wrecked at FD,,,,,,cargo taken at FD after wrecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Margaret Rait,Edward Gardner,New Brunswick,Saint Augustine Bay,whaling,NBWM 971,,SAB,Saint Augustine Bay,27-Jun,08-Aug,,,wood and water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Margaret SCott,Howland,New Bedford,"SAint Augustine BAy, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560923.pdf,small leak to fix,Saint Augustine Bay,"July 25, 1856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Maria,Bin Cushman,,Mauritius,whaling,New Bedford Whaling Museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Maria,,New Bedford,Zanzibar,whaling,RP (Providence Public Library),NEM 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Maria,Joshua Coffin,New Bedford,Madagascar,whaler,Kendall Whaling Museum,NEM 269,"whaler, James C Cameron left at Johanna and died in Zanzibar",Madagascar,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Maria,Joshua Coffin,New Bedford,Anjouan,whaling,NBWM 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Maria,Joshua Coffin,New Bedford,"Saint Augustin Bay, Nosy Be, Anjouan, Zanzibar",whaling,Nantucket Historical association ,,,"Nosy Be, Saint Augustine Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Maria,Mooers,NEw Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Mariana,,,Anjouan,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Mars,Swain,Boston,"Mauritius, Canton",,,NEML 5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Mars,Philip H. Borden,New Bedford,"Sainte Marie, Madagascar, Nosy Be",whaling,New Bedford museum library - in catalog; NBL 47,BL 47; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,Sainte Marie,26-Apr,11-May,,,,Saint Augustine Bay,02-Jul,14-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Mars,Borden,New Bedford,Mauritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500910.pdf,Captain sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Mars,Harrison,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531122.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Mars,G. P. Harrison,New Bedford,"Mauritius, Saint Augustin Bay",whaling,NBWM 137; NBL 47,,,Saint Augustine Bay,07-Sep,25-Sep,,,,Tullear Bay,26-Sep,30-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,US,Martha,George Ropes,Salem?,"Mauritius, Bourbon","coffee, sugar, cotton",,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,Martha,John Prince Jr.,Salem?,Mauritius,"coffee, sugar, cotton",,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,US,Martha,E. Russell,New Bedford,Mauritius,whaling,New Bedford Whaling Museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Martha,,Fairhaven,Saint Augustine Bay,whaling,,NBWM ODHS 240,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Martha,Fisher,New Bedford,Mauritius and Madagascar,whaling,http://pplspc.org/nicholson/rj5_nicholson_428/pdf/rj5_nicholson_428r.pdf,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Martha,Daniel Borden,New Bedford,Saint Augustine Bay,whaling,NBWM ODHS 364,,,Saint Augustine Bay,09-Apr,25-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Martha,Alley,Nantucket,Mauritius,whaling,New bedford whaling museum,NARA reel 1,,Madagascar,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Martha,Stewart,Fairhaven,"Johanna, Saint Augustine Bay",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500604.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf,,SAint Augustine Bay,"SEptember 30, 1849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Martha,Stewart,Fairhaven,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540502.pdf,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Martha ,Wheldon,Hudson,Madagascar,whaler,http://pplspc.org/nicholson/rj5_nicholson_430/pdf/rj5_nicholson_430r.pdf,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf,,Madagascar,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Martha ,Stewart,Fairhaven,"Johanna, Saint Augustine Bay, Passandava Bay",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461013.pdf,,Saint Augustine Bay,25-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Martha,Spaulding,Fairhaven,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570505.pdf,,Saint Augustine Bay,"January 1, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Mary,,St Andrews,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Mary ,Henry Peak,Edgar Town,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,US,Mary Ann,William Stevens,New Bedford,Zanzibar,gum copal,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Mary Ann,J. Cracker,New Bedford,"Saint Augustin Bay, Zanzibar",whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Mary Ann,Farnham,New York,"Nosy Be, Zanzibar",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520615.pdf,commercial ship? ,Nosy Be,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Mary Hawes,Hawes,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Maryam,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,Antongil,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Maryland,G. F. White,Providence,"Nosy Be, Majunga, Zanzibar",,PE Log 716,https://beta.worldcat.org/archivegrid/?q=%28topic%3A%22logbooks.%22%29+AND+placesort%3A%22Tanzania+-+Zanzibar.%22&offset=100&p=0&label=&sort=score+desc&limit=100&ss=&extentsize=50,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Mason,,Pittsburg,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Massasoit,,,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551127.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Matiposset,,,Saint Augustine Bay,whaling,,NBWM 137,,Saint Augustine Bay,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Mechanic,Corey,NEwport,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,French,Meican,Lubbost,Bordeaux,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,GB,Menai,,UK,"Zanzibar, Tamatave",,New York Public Library,,,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,GB,Mendoro,Garrison Crowell,Liverpool,Mauritius,bringing guano ,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,US,Mercury,Charles Gifford,New Bedford,"Mauritius, Antongil",whaling,NBWM 361,,,Antongil Bay,18-Jul,27-Jul,fowls,,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Merlin,John R. Sturgis,New Bedford,"Madagascar, Zanzibar, Seychelles",whaling,New Bedford whaling museum - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,US,Merlin,George F. Allen,New Bedford,"Madagascar, Anjouan",whaling,NBWM 67,,doesn't appear to stop at Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,US,Mermaid,James H. Serman,New Bedford,Anjouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Messenger,Baker,New Bedford,"Johanna, St Augustine Bay, Mauritius",whaling,,"http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530726.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530412.pdf, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf","almost wrecked near Madagascar, had to go into St Augustine BAy for repairs",Saint Augustine Bay,1852?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Messenger,Baker,New Bedford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Messenger ,Jenney,New Bedford,"Augustine Bay, Mauritius",whaling,,http://images.mysticseaport.org/images/wsl/18580705.pdf; http://images.mysticseaport.org/images/wsl/18571229.pdf,,Augustine Bay,"September 17, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Meteor,,New Bedford,Saint Augustine Bay,whaling,,NBWM 721,ran ashore at St augustine Bay,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Meteor,Austin M. Lester,Mystic,Madagascar,whaling,Mystic,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Meteor,William T. Burrows,Mystic,Saint Augustine Bay,whaling,Mystic,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustine Bay,16-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Mexican,Cudworth,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,Michael Shepard,,Salem,"Madagascar, Zanzibar, Mayotte, Johanna, Kilwa",,PEM,,,Madagascar,25-Mar,03-Apr,"Tamatave- 7 bags of specie, 829 hides, 400 bags rice, Nosy Be - 200 bags sugar, 224 bags rice, 420 hides, 18 sticks ebony, 12 casks beeswax, sandal wood, Majunga - 3,000 hides, turtle shell, 50 barrels beeswax, 1,100 bags rice, 800 pieces sandal wood, 85 sticks ebony","Tamatave - 500+ bales goods, clocks, Nosy Be - 150+ bales cotton and goods, 900 kegs powder, tobacco, Majunga - 100 bales, 9 kegs powder, 1 case muskets, sugar",also selling cotton goods and loading hides at Mayotte and Johanna,Nosy Be,08-Apr,17-Apr,Majunga,19-Apr,21-Apr,Majunga,24-May,26-May,Nosy Be,"June 1, 1859",08-Jun,Tamatave,28-Aug,03-Sep,Majunga,13-Nov,17-Nov,Nosy Be,17-Nov,18-Nov,Tamatave,"Jan 1, 1860",09-Jan,Majunga,16-Jan,20-Jan,Majunga,05-Jun,08-Jun
1849,US,Millinocket,Martin,Warren,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491204.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Millinocket,William Martin,Warren,Madagascar; Johanna,whaler,New Bedford whaling museum - in catalog,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Millinocket,Worth,Warren,Johanna; Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530412.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Millinocket,Worth,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Milwood,Luce,New Bedford,Saint Augustine Bay,whaling,,"Busch, Whaling, pg 44; John Thompson, The Life of a Fugative Slave, p. 122-4",http://library.mysticseaport.org/Images/wsl/18431003.pdf,Saint Augustine Bay,12-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Milwood,Deane,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Milwood,Pease,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Milwood,Gruninger,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18580831.pdf,,Saint Augustine Bay,,"May 11, 1858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Minerva Smyth,Bolles,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Mobile,,New Bedford,Comoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Mohawk,James Ballard,,"Aden, Zanzibar",,,NEM 268,efforts made to prevent them from trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Monmouth,Ludlow,Cold Spring,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540307.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Monmouth,Eldridge,Cold Spring,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Montezuma,Allen,"Mattapoisett, MA",Mozambique,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Montezuma,Prince Lawton,Dartmouth,Anjouan,whaling,NBWM 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Montezuma,Allen,New Bedford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501022.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Montezuma,Kempton,New BEdford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Montgomery,Eben B. Hooper,Rhode Island,"Madagascar, Mauritius",whaling,,NARA reel 2,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Montgomery,Hope,Providence,"Mozambique, Zanzibar, Madagascar, Mauritius",,,NEM 268,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Montgomery,Chapman,New Bedford,"Mauritius, Saint Augustine Bay",whaling,NBL 51,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561230.pdf,in Mauritius as captain hurt,Saint Augustine Bay,08-Nov,23-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Montou,,New London,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Mount Willaton,Purchase Juvet,Salem,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Mount Wollaston?,Purchase Hewett?,Salem,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Mozambique,,,Antongil Bay,whaling,,NBWM 179,,Antongil,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,US,Natal,,,"Majunga, Nosy Be, Zanzibar",,PE Log 795,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Neptune,,New London,Saint Augustin Bay,whaling,Mystic,http://pplspc.org/nicholson/rj5_nicholson_504/pdf/rj5_nicholson_504r.pdf,,Saint Augustin Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,US ,Nereus,Daniel Brookhouse,Salem,"Majunga, Mozambique",,PE Log 194,"Putnam, 15",,Majunga,08-Apr,23-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,US,Nereus,B. W. Brookhouse,Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,New Concorda,,,Saint Augustin Bay,,,NWBM 97,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Ninus,Woolley,Lynn,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Noble,Glover,Sag Harbor,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,Saint Augustine Bay,"March 16, 1849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,North America,,Warren,,,Mystic Seaport Museum,,,Madagascar,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,North Star,,,"Madagascar, Zanzibar",,,"RW 1, 1 and 3","wrecked near Majunga, couldn't save cargo or people",Majunga,January,,"1000 hides, tallow","$1 per hide, $ for tallow, in exchange for cloth, soap etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Northwest,Rogers,New London,"Saint Augustin Bay, Tulear, Mauritius",whaling,,NBWM 137; http://images.mysticseaport.org/images/wsl/18571229.pdf,,Saint Augustine Bay,September,,Tulear ,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,Ocean Rover,James M. Clark,"Mattapoisett, MA",Madagascar,,New Bedford Whaling musem - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Octavia,Clifford?,New Bedford,"Madagascar, Mauritius",whaling,http://pplspc.org/nicholson/rj5_nicholson_523/pdf/rj5_nicholson_523r.pdf,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Octavia,,New Bedford,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Octavia,Isaac C howland,New Bedford,"Saint Augustine Bay Mauritius, Mozambique, Nosy Be",whaler,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450506.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430613.pdf",,Saint Augustine Bay,April,,,,men sick with scurvy,Saint Augustine Bay,"April 35, 1844",,Nosy Be,"July 30, 1844",,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Ohio,David Baker,New Bedford,Madagascar,whaling,New Bedford whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,US,Ohio,Daniel Flanders,New Bedford,Anjouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Ontario,,Sag Harbor,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Ontario,B. R. Green,Sag Harbor,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Ontario,Greene,Sag Harbor,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,UK?,Opolion,Landglois,,Zanzibar,,,NEM 202,perhaps British whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Orb,Nehemiah W Andrews,Salem,"Zanzibar, Ibo, Madagascar",,"PE Log 553; PE Pingree papers -Box 92, folder 11","NEM 266, RW, 2: 1",,Madagascar,15-Feb,21-Feb,3000 hides,40 bales of cotton,"price of cottons fixed by gov, quality of hides good",Majunga,08-Jun,12-Jun,Saint Augustin Bay,January?,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Orb,W. Cross,Salem,"Majunga, Zanzibar",,,"History of Essex County, 85; David Pingree",,Majunga,January 1846,,1500 hides,,,Majunga,November ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Orb,C. F. Rhoades,Salem,"Majunga, Zanzibar",,,"David Pingree; History of Essex County, 85",,Majunga,hides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Orissa,Sears,Boston,Mauritius,ice,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Osceola,,,Boyana Bay,whaling,NBWM 261,,in a state of mutiny,Boyana,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,US,Osceola,,,near eastern Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Ospray,Macomber,New Bedford,"Johanna, St. Augustine Bay; Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531018.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530802.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530816.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520705.pdf,leaking at Mauritius,Saint Augustine Bay,2/27/1853,,,,,Saint Augustine Bay,"February 27, 1853",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,US,Osprey,Caldwell,Salem,"Majunga, SAB, Zanzibar, Brava, Lamu",,PE Log 281,NEM 197,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Otranto?,Winslow,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Palestine,John Crimblish,Salem,"Anjouan, Majunga","water and fruit, cattle and poultry",PE 437,NEM 187,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Palestine,Crimblish,Salem,"Johanna, Majunga, Zanzibar, Nosy Be",,PEM,,,Nosy Be,07-Jul,18-Jul,,,,Majunga,14-Jun,24-Jun,Nosy Be,29-May,08-Jun,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Palestine,Crimblish,Salem,Majunga,,PE Log 3088 (OS),,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Palladium,Charles Prentis,New London,Saint Augustine Bay,whaler,,"Maury Abstracts, National Archives and Records Administration, Washington, DC, NBWM 411",,Saint Augustine Bay,May,,,,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Palm,N. W. Andrews,Salem,Zanzibar,,,"History of Essex County, 85; Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
