Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1854,US,Bevis,McFarlin,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Bhering,,Boston,Zanzibar,,,NEM 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,US,Black Warrior,John Bertram,Salem,Zanzibar,gum copal  ,,"Essex county, 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Blackstone,,Mystic,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,UK,Blue Jacket,Jackson,London,Mauritius,sugar for London,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,"built in Boston, now owned in London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Bolton,Lewis,Stonnington,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Boxer,,Salem,"Zanzibar, Muscat, Mozambique",,,NEM 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Brandt,Maxfield,New Bedford,"Mauritius, Saint Augustine Bay",whaling,,"NARA reel 1, NBWM 411",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Brandt,Fischer,New Bedford,Mauritius,whaling,http://pplspc.org/nicholson/rj5_nicholson_83/html/rj5_nicholson_83r-0801.html,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Brandt,Sampson,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf,,Saint Augustine Bay,25-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Brandt,Honeywell,New Bedford,"Diego Garcia, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510304.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Brenda,Andrew Ward,Salem,Zanzibar,dates,,"History of Essex County, 85; NEM 214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Brewster,Crary B. Waite,"Mattapoisett, MA","Nosy Be, Mauritius",whaling,Mystic / Nantucket Historical Association,http://images.mysticseaport.org/images/wsl/18580727.pdf,,"Nosy Be, Fort Dauphin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,GB,Brilliant,,,"Mozambique, Nosy Be",,,,,Nosy Be,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,Brothers,John Felt,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Bruce,Fuller,Fairhaven,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Bruce,Dyer,Fairhaven,"Johanna, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Bruce,Nelson,Fairhaven,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561014.pdf,"broken, to be condemned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Brunswick,,Providence,"Antongil Bay, Saint Augustine Bay",whaling,,"NBWM 179, NBWM 597, MBWM ODHS 1086 A",,Antongil,July,,,,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Brunswick,,Providence,"Madagascar, Mauritius",whaling,Rhode Island Historical Society Library,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Brunswick,Butler,Dartmouth,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Calumet,Skinner,Stonington,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480111.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Canton,Taber,New Bedford,"Rodriguez, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,US,Canton,Joshua G. Lapham,New Bedford,Saint Augustin Bay,whaler,NBWM ODHS 996,,"traded with ""Prince willie""",Saint Augustin Bay,,,provisions from Tulear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,US,Canton,George Lyman Howland,New Bedford,Madagascar,whaling,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Canton Packet,Borden,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Cassander,Dennis,Providence,Comoros,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Catherwood,Allen,Westport,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Cavalier,John Waters,Salem,"Majunga, Zanzibar, Bombay, Zanzibar, Majunga",,"PE Pingree papers -Box 74, folder 4; PE Log 1369","NEM 212, RW 4:2",,Majunga,August,,,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Cavalier,Waters,Salem,"Majunga, Zanzibar",,"PE Pingree papers -Box 74, folder 4",PE catalog,,Majunga,,,"hides, dollars for goods","cloth, soap, umbrellas, assorted goods","order for Momonsa for clothing from Marks, paid with $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Cavalier,John Waters,Salem,Zanzibar,,"PE Pingree papers -Box 74, folder 4; Pe LOG 483 and 1179",NEM 213,carrying Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Cavalier,Nehemiah W Andrews,Salem,"Zanzibar, Madagascar, Bombay",,PEM,"RW 1, 1",,Madagascar,"September, June, December",,"3,000+ hides, tallow","cash, anchorage fee, duty, assorted cloth, wire, 190 muskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Cavalier,Nehemiah W Andrews,Salem,"Zanzibar, Majunga",,PEM,"NEM 215, RW 1:1; PE Log 506",,Majunga,18-Jun,23-Jun,"6,000 hides, tallow",cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Cavalier,Andrews,Salem,Majunga,,PE Log 507,"RW 1, 1 and 2, 2:3",,Majunga,March,,"1221 hides ($1 each), 9 barrels tallow, food - beef, fish, peas","100 bales American cotton cloth, 30 bales of others, muskets - total $526","total for hides and tallow with labor $1,493, poor trade now from Banians, hides from 1842 of poor quality, loaded by Vincent Marks and Ibrahim Bin Hassan Ally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Cavalier,John G Waters?,Salem,Zanzibar,,,"NEM 215, BW 1, 1 and 2",,,,,"4923 hides, tallow, specie","cloth, umbrellas, plates - total $11991, 12 cases of muskets","unclear if this is the voyage (not dated, c 1844)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Cavalier,Bourne,New Bedford,MAuritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Ceile,Chalmers,Baltimore,Zanzibar,,,"NEM 268, 343","wrecked at JEan de Nove, the captain and crew at Moz, likely slavers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Cephon,,Sag Harbor,Madagascar,whaler,,,,Nosy Be,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Ceres,Paterre,New Bedford,Zanzibar,whaling,New Bedford Whaling Museum / Mariner's Museum Library,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Ceres,John G. Barker,New Bedford,"Zanzibar, Comoros, Saint Augustin Bay",whaler,NBWM 47,,,Saint Augustine Bay,30-Jul,21-Aug,provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,US,Chace,Tallman,Boston,Mauritius,sugar,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
